,subject_code,subject_name,teacher_name,description,department,syllabus,year,semester,ltp,credit
0,AE21001,INTRODUCTION TO AERODYNAMICS,,,Aerospace Engineering,"Concept of fluid and fluid motion, Fluid kinematics, Equations of continuityand motion, Steady and unsteady unidirectional flows, Circulation andvorticity, Stokes , Kelvin s and Helmholtz s theorems, Inviscid irrotationalflow and velocity potential, Conformal transformation, The Zhukovskytransformation and Zhukovsky airfoils, The boundary layer concept, Laminarboundary layer equation, Momentum Integral Equation and its  solution. Books:GK Batchelor, An Introduction to Fluid Dynamics, Cambridge University PressF MWhite, Viscous Fluid Flow, McGraw-Hill InternationalE L Houghton and A E Brock,Aerodynamics for Engineering Students, Edward ArnoldE L Houghton and N BCarruthers, Aerodynamics for Engineering Students, Edward ArnoldJ D Anderson,Jr., Fundamentals of Aerodynamics, McGraw-Hill International",2021,Spring,3-1-0,4
1,AE21002,LOW SPEED AERODYNAMICS,,,Aerospace Engineering,"Prerequisites: AE21001                                  3 - 1 - 0: 4 Credits
Aerofoil characteristics,Classical aerofoil theory â camber and thickness problems, The source andvortex panel numerical methods, Prandtl s lifting line theory, Lifting surfacetheory, The vortex lattice method and general 3-D panel method, Boundary layercharacteristics. Books:E L Houghton and A E Brock, Aerodynamics for EngineeringStudents, Edward ArnoldE L Houghton and N B Carruthers, Aerodynamics forEngineering Students, Edward ArnoldJ Katz and A E Plotkin, Low SpeedAerodynamics, Cambridge University PressJ D Anderson, Jr., Fundamentals ofAerodynamics, McGraw-Hill InternationalH Schlichting, Boundary Layer Theory,McGraw-Hill",2021,Spring,3-1-0,4
2,AE21003,DYNAMICS FOR AEROSPACE ENGINEERS,,,Aerospace Engineering,"Reviews of the laws of motion, Dynamics of a particle in two or threedimensions, equations of motion of an aircraft treated as a particle, Dynamicsof a system of particles, collision and orbit problems, rockets. Dynamics ofrigid bodies: kinematics of rigid bodies in two and three dimensions, equationsof motion and their solution for selected cases, equations of motion of a rigidaircraft, gyroscopes, Introduction to the principle of virtual work andLagrangian mechanics.  Books:I H Shames, Engineering Mechanics: Statics andDynamics, Prentice-HallJ L Meriam and L G Kraige, Engineering Mechanics:Dynamics, John Wiley and SonsF P Beer and E R Johnston, Vector Mechanics forEngineers â Statics and Dynamics, McGraw-Hill",2021,Spring,3-1-0,4
3,AE21004,INTRODUCTION TO AEROSPACE STRUCTURES,,,Aerospace Engineering,"Introduction to Flight Vehicle Structures, Flight-Vehicle Imposed Loads, EnergyMethods of Structural Analysis; Theory of Elasticity in Three-dimensions,(Tensorial approach); Two-dimensional problem of Elasticity; Development ofproblem related to Aerospace Structures; Stress AnalysisBooks:T H G Megson,Aircraft Structures for Engineering Students, Edward ArnoldH Ashley,Engineering Analysis of Flight Vehicles, Addison WesleyD J Peery and J J Azar,Aircraft Structures, McGraw-HillB K Donaldson, Analysis of Aircraft Structures:An Introduction, McGraw-Hill",2021,Spring,3-1-0,4
4,AE21008,INTRODUCTION TO FLIGHT VEHICLE CONTROLS,,,Aerospace Engineering,"Prerequisites: Transform Calculus       3 - 0 - 0: 3 Credits
 Mathematicalmodeling of dynamic system, Transient response analysis, Basic Control actionsand response of control systems, analysis of control systems in state space,design of control systems in state space, root locus analysis and design ofsystem by root locus method, frequency response analysis, PID controls.",2021,Spring,3-0-0,3
5,AE29002,AERODYNAMICS LAB-I,,,Aerospace Engineering,Prerequisites: AE21001                                 Experiments related to measurement of pressureand boundary layer characteristics.,2021,Spring,0-0-3,2
6,AE29004,STRUCTURES LAB -I,,,Aerospace Engineering,"Experiments related to Material Behaviour, Experimental Stress Analysis, andExperimental Analysis of Structures ",2021,Spring,0-0-3,2
7,AE31001,THERMODYNAMICS AND AEROSPACE PROP.SYSTEM,,,Aerospace Engineering,"Basic concepts of thermodynamics, first and second laws of thermodynamics andtheir corollaries, Engine cycles; Basic Principles of Propulsion,Classification and Characteristics of Aerospace Propulsive Devices,Thermodynamic and Real Cycle Analysis, Aviation Fuels, Theory of Propellers;Centrifugal Compressor and its performance; Nozzles, Subsonic and SupersonicIntakes, Combustion Chambers; Rocket propulsion.Books:J D Mattingly, Elementsof Gas Turbine Propulsion, McGraw-HillJ D Mattingly, W H Heiser, D H Daley,Aircraft Engine Design, AIAAE L Houghton and A E Brock, Aerodynamics forEngineering Students, Edward ArnoldS L Dixon, Fluid Mechanics, Thermodynamicsof Turbomachinery, Pergamon PressH Cohen, G F C Rogers, and H Saravanamutto,Gas Turbine Theory, Longman",2021,Spring,3-1-0,4
8,AE31002,AEROSPACE STRUCTURAL DYNAMICS,,,Aerospace Engineering,"Prerequisites: AE21004                                  3 - 1 - 0: 4 Credits
Introduction, discretesystems, matrix formulation, generalized equations of motion, generalizedforces, response of undamped systems, special kinds of damping, gyroscopicsystems, continuous systems, variational approach, classical eigenvalueproblem, beam, membranes and plates, energy method, finite element method.Books:A C Fung, Introduction to Aeroelasticity, R L Bisplinghoff, H Ashley,Principle of Aeroelasticity, WileyE H Dowell and H C Curtiss, A Modern Courseon Aeroelasticity, Kluwer Academic PublishersL Meirovitch, Analytical Methodsin Vibration, MacMillanW T Thompson, Theory of Vibration with Applications,George Allen",2021,Spring,3-1-0,4
9,AE31004,AIRCRAFT STABILITY AND CONTROL,,,Aerospace Engineering,"Prerequisites: AE31007                                  3 - 1 - 0: 4 Credits
Introduction to theproblem of stability and control; Longitudinal static stability - stick fixedand stick free; Control and maneuvering in steady level flight;Lateral/directional dynamic stability; Response of the aircraft to controlinputs; Dynamic stability, stick free; response to gusts.Books:B Etkin,Dynamics of Atmospheric Flight, John WileyE L Houghton and A E Brock,Aerodynamics for Engineering Students, Edward ArnoldE L Houghton and N BCarruthers, Aerodynamics for Engineering Students, Edward Arnold",2021,Spring,3-1-0,4
